company,word_count,sentence_count,avg_sentence_length,char_count,unique_words,flesch_reading_ease,flesch_kincaid_grade,legal_term_count,norm_word_count,norm_avg_sentence_length,norm_unique_words,norm_flesch_reading_ease,norm_legal_term_count,score_raw,obfuscation_score,label
ClickUp,4116,173,23.791907514450866,26059,1059,28.418423689206975,15.39465517744998,15,0.133519,0.197456,0.23244,0.579647,0.099338,0.308704,30.87,Moderate
Airtable,4671,244,19.14344262295082,30049,1162,29.702002789956197,15.0401474691112,33,0.154155,0.111377,0.261495,0.548315,0.218543,0.305028,30.5,Moderate
Asana,3995,175,22.82857142857143,25152,1192,29.88926187429294,16.440160129082518,17,0.12902,0.179617,0.269958,0.543744,0.112583,0.297629,29.76,Moderate
Wix,1657,82,20.20731707317073,10875,559,23.753824421344945,16.004819415773035,5,0.04209,0.131077,0.091396,0.693508,0.033113,0.295468,29.55,Moderate
JPMorgan Chase,2282,94,24.27659574468085,14525,722,26.520229847333695,16.48253105564581,1,0.065328,0.206431,0.137377,0.625981,0.006623,0.292296,29.23,Moderate
Cloudflare,6816,471,14.471337579617835,45579,1719,29.780726592825943,14.31332640540144,22,0.23391,0.02486,0.418618,0.546393,0.145695,0.291844,29.18,Moderate
DigitalOcean,3197,213,15.009389671361502,20956,936,25.717895992322383,15.409611597626583,16,0.099349,0.034823,0.197743,0.645566,0.10596,0.285555,28.56,Moderate
Fastly,6258,346,18.08670520231214,39129,1392,33.50748647595867,14.007071408321174,37,0.213162,0.091808,0.326375,0.455424,0.245033,0.285311,28.53,Moderate
Intercom,4952,304,16.289473684210527,31432,1249,29.637782746125993,14.549840027754222,23,0.164603,0.058528,0.286037,0.549882,0.152318,0.282618,28.26,Moderate
Bose,525,25,21.0,3544,235,23.370554621848754,17.671641456582638,0,0.0,0.145756,0.0,0.702864,0.0,0.282441,28.24,Moderate
Workday,4515,255,17.705882352941178,29565,1217,31.834734453794766,13.640040445092545,32,0.148355,0.084756,0.27701,0.496255,0.211921,0.279799,27.98,Moderate
Substack,4358,218,19.990825688073393,27931,1127,30.55093678160921,15.001758620689657,16,0.142517,0.127068,0.251622,0.527592,0.10596,0.27703,27.7,Moderate
Shopify,3136,114,27.50877192982456,19103,841,33.2253263955856,15.781164416586307,11,0.097081,0.266284,0.170945,0.462311,0.072848,0.269752,26.98,Moderate
HubSpot,8545,550,15.536363636363637,54387,1647,37.0973015520168,13.175089119715466,45,0.298197,0.044582,0.398307,0.367797,0.298013,0.269127,26.91,Moderate
Strava,4131,192,21.515625,26783,1178,32.864888291348876,14.209233969713463,16,0.134077,0.155304,0.266008,0.47111,0.10596,0.264915,26.49,Moderate
Fitbit,4964,208,23.865384615384617,31115,1115,34.30457593924007,14.925807437117317,15,0.165049,0.198816,0.248237,0.435967,0.099338,0.263489,26.35,Moderate
Flickr,5573,307,18.153094462540718,35620,1479,33.956165789547015,14.077045883451838,21,0.187693,0.093038,0.350917,0.444472,0.139073,0.2605,26.05,Moderate
Vanguard,3775,169,22.337278106508876,24041,950,31.52590834032293,15.015589134689318,3,0.12084,0.170519,0.201693,0.503794,0.019868,0.255185,25.52,Easy
Asus,5339,289,18.474048442906575,34868,1356,33.25896379044687,14.616515151515152,13,0.178992,0.098981,0.31622,0.46149,0.086093,0.253007,25.3,Easy
YouTube,8708,346,25.167630057803468,53501,1629,39.141308493739274,14.211279627311747,9,0.304257,0.222931,0.39323,0.317904,0.059603,0.248668,24.87,Easy
Google,8708,346,25.167630057803468,53501,1629,39.141308493739274,14.211279627311747,9,0.304257,0.222931,0.39323,0.317904,0.059603,0.248668,24.87,Easy
Zendesk,5424,366,14.819672131147541,34755,1354,33.73684293727695,13.637374225978,24,0.182153,0.03131,0.315656,0.449825,0.15894,0.246835,24.68,Easy
Hinge,4174,174,23.988505747126435,25021,1195,36.582826187385564,14.68083086893294,15,0.135676,0.201096,0.270804,0.380356,0.099338,0.243914,24.39,Easy
New Relic,5687,358,15.885474860335195,35073,1351,37.23620531724757,13.581314630409807,38,0.191932,0.051046,0.31481,0.364407,0.251656,0.241309,24.13,Easy
